,jobId,state
964,39900158,New South Wales
965,39900648,New South Wales
966,39901198,Victoria
967,39905301,New South Wales
968,39906518,New South Wales
969,39908193,Victoria
970,39914362,New South Wales
971,39915769,New South Wales
972,39917154,Victoria
973,39917331,Queensland
974,39917711,Western Australia
975,39918670,Western Australia
976,39918873,New South Wales
977,39919694,Victoria
978,39923453,Victoria
979,39925092,Victoria
980,39925315,Queensland
981,39925585,Victoria
982,39928193,Victoria
983,39930532,New South Wales
984,39932924,Queensland
985,39941890,New South Wales
986,39942109,New South Wales
987,39942139,Western Australia
988,39951403,Queensland
989,39954648,South Australia
990,39955013,Victoria
991,39961986,New South Wales
992,39963958,Victoria
993,39972422,New South Wales
994,39974204,Victoria
995,39975849,Victoria
996,39979025,New South Wales
997,39979161,New South Wales
998,39980576,Victoria
999,39980988,Victoria
1000,39982982,New South Wales
1001,39984687,Western Australia
1002,39988046,New South Wales
1003,39990213,New South Wales
1004,39995247,Victoria
1005,39995370,Queensland
1006,39995692,Queensland
1007,39996316,New South Wales
1008,39998330,Victoria
1009,40004251,Victoria
1010,40004524,Western Australia
1011,40005447,Victoria
1012,40005621,Victoria
1013,40008803,New South Wales
1014,40009529,New South Wales
1015,40010624,Australian Capital Territory
1016,40010625,Australian Capital Territory
1017,40012141,New South Wales
1018,40013501,New South Wales
1019,40014752,Western Australia
1020,40016491,Western Australia
1021,40018165,Victoria
1022,40020893,Victoria
1023,40020894,Victoria
1024,40020943,New South Wales
1025,40022548,New South Wales
1026,40022618,Victoria
1027,40025777,Queensland
1028,40027694,New South Wales
1029,40027893,Queensland
1030,40031073,New South Wales
1031,40034004,Victoria
1032,40034126,Victoria
1033,40036844,Western Australia
1034,40036944,New South Wales
1035,40045842,Victoria
1036,40045911,New South Wales
1037,40049016,New South Wales
1038,40049039,New South Wales
1039,40052195,Queensland
1040,40052787,Western Australia
1041,40053109,New South Wales
1042,40059069,New South Wales
1043,40059410,New South Wales
1044,40064202,Victoria
1045,40067252,New South Wales
1046,40067480,Queensland
1047,40067497,Victoria
1048,40073238,South Australia
1049,40075499,Victoria
1050,40079584,South Australia
1051,40084233,Queensland
1052,40084577,Victoria
1053,40086171,Victoria
1054,40087387,New South Wales
1055,40088467,New South Wales
1056,40090873,New South Wales
1057,40090959,New South Wales
1058,40092412,New South Wales
1059,40094609,Australian Capital Territory
1060,40094646,New South Wales
1061,40094699,Victoria
1062,40094737,New South Wales
1063,40095645,Western Australia
1064,40095967,Western Australia
1065,40095968,Western Australia
1066,40097488,Victoria
1067,40098780,New South Wales
1068,40099938,New South Wales
1069,40100271,Western Australia
1070,40106749,Tasmania
1071,40108502,New South Wales
1072,40109550,New South Wales
1073,40111580,New South Wales
1074,40120255,New South Wales
1075,40124294,Victoria
1076,40125892,New South Wales
1077,40131103,South Australia
1078,40131621,New South Wales
1079,40131929,Western Australia
1080,40137230,Victoria
1081,40139106,New South Wales
1082,40142871,New South Wales
1083,40142872,Queensland
1084,40143241,Victoria
1085,40145975,New South Wales
1086,40147169,New South Wales
1087,40147775,New South Wales
1088,40148929,New South Wales
1089,40155358,New South Wales
1090,40157692,Victoria
1091,40158124,Victoria
1092,40160559,New South Wales
1093,40161833,New South Wales
1094,40166462,Victoria
1095,40168499,New South Wales
1096,40169540,New South Wales
1097,40177162,Western Australia
1098,40179751,New South Wales
1099,40181112,New South Wales
1100,40182122,Victoria
1101,40182457,Victoria
1102,40183818,Victoria
1103,40184903,Queensland
1104,40189624,Victoria
1105,40192096,Victoria
1106,40192105,Victoria
1107,40199588,Victoria
1108,40199589,Victoria
1109,40207259,Queensland
1110,40207260,Queensland
1111,40207261,Queensland
1112,40207262,Queensland
1113,40207560,New South Wales
1114,40207561,Victoria
1115,40207630,New South Wales
1116,40208095,Victoria
1117,40208819,Western Australia
1118,40209792,Victoria
1119,40209806,New South Wales
1120,40211856,New South Wales
1121,40211857,New South Wales
1122,40211928,New South Wales
1123,40216904,Western Australia
1124,40218844,Western Australia
1125,40222531,Western Australia
1126,40228331,Western Australia
1127,40229349,New South Wales
1128,40231150,Victoria
1129,40231258,New South Wales
1130,40231294,New South Wales
1131,40235873,Queensland
1132,40236061,New South Wales
1133,40236062,New South Wales
1134,40236063,New South Wales
1135,40241595,New South Wales
1136,40241958,Victoria
1137,40248240,New South Wales
1138,40256646,Queensland
1139,40257661,New South Wales
1140,40259750,New South Wales
1141,40259888,New South Wales
